,1,2,3,4,5,6+
1,17.999844,0.000000,0.000000,0.000000,0.000000,0.000000
2,96.498858,803.494840,0.000000,0.000000,0.000000,0.000000
3,98.698773,821.812369,2404.488692,0.000000,0.000000,0.000000
4,217.628638,1812.078313,5301.845017,983.450869,0.000000,0.000000
5,163.977786,1365.356112,3994.808857,741.005863,127.853972,0.000000
6,50.919612,423.980617,1240.497999,230.102697,39.702174,13.797756
7,13.627810,113.471551,331.999214,61.583263,10.625644,3.692746
8,4.661475,38.813633,113.562348,21.064929,3.634566,1.263126
9,1.375517,11.453203,33.510201,6.215881,1.072495,0.372726
10,0.305671,2.545156,7.446711,1.381307,0.238332,0.082828
11,0.101890,0.848385,2.482237,0.460436,0.079444,0.027609
12,0.076418,0.636289,1.861678,0.345327,0.059583,0.020707
13,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
16,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
20,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
22,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
34,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
41,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
44,0.025473,0.212096,0.620559,0.115109,0.019861,0.006902
