,1,2,3,4+
1,3.999961,0.000000,0.000000,0.000000
2,0.359286,13.640710,0.000000,0.000000
3,0.105578,4.008386,56.886036,0.000000
4,0.151206,5.740712,81.470794,200.637290
5,0.445217,16.903208,239.886225,590.765355
6,0.599574,22.763519,323.054327,795.582589
7,0.666776,25.314946,359.263569,884.754718
8,0.540771,20.531020,291.371241,717.556976
9,0.338638,12.856804,182.460631,449.343932
10,0.204233,7.753948,110.042148,270.999673
11,0.089779,3.408548,48.373284,119.128391
12,0.050927,1.933504,27.439816,67.575754
13,0.021001,0.797321,11.315388,27.866290
14,0.016801,0.637857,9.052310,22.293032
15,0.006825,0.259129,3.677501,9.056544
16,0.003150,0.119598,1.697308,4.179944
17,0.000525,0.019933,0.282885,0.696657
18,0.001575,0.059799,0.848654,2.089972
20,0.001050,0.039866,0.565769,1.393315
22,0.000525,0.019933,0.282885,0.696657
23,0.000525,0.019933,0.282885,0.696657
24,0.000525,0.019933,0.282885,0.696657
45,0.000525,0.019933,0.282885,0.696657
58,0.000525,0.019933,0.282885,0.696657
87,0.000525,0.019933,0.282885,0.696657
