,1,2,3,4,5,6+
1,1186.011768,0.000000,0.000000,0.000000,0.000000,0.000000
2,3201.479278,3692.520151,0.000000,0.000000,0.000000,0.000000
3,3283.657490,3787.302805,437.030868,0.000000,0.000000,0.000000
4,413.976407,477.471847,55.097241,25.452465,0.000000,0.000000
5,51.108198,58.947142,6.802129,3.142280,0.000000,0.000000
6,10.647541,12.280655,1.417110,0.654642,0.000000,0.000000
7,2.129508,2.456131,0.283422,0.130928,0.000000,0.000000
8,0.425902,0.491226,0.056684,0.026186,0.000000,0.000000
11,0.425902,0.491226,0.056684,0.026186,0.000000,0.000000
47,0.425902,0.491226,0.056684,0.026186,0.000000,0.000000
