,1,2,3,4+
1,1.999995,0.000000,0.000000,0.000000
2,1.139338,60.860656,0.000000,0.000000
3,1.821172,97.282572,490.896255,0.000000
4,7.256437,387.621192,1955.969982,201.152392
5,11.933882,637.478896,3216.773516,330.813711
6,3.241512,173.153667,873.748346,89.856476
7,1.165807,62.274565,314.242826,32.316803
8,0.346899,18.530480,93.506402,9.616219
9,0.156389,8.353905,42.154525,4.335181
10,0.042651,2.278338,11.496689,1.182322
11,0.008530,0.455668,2.299338,0.236464
12,0.008530,0.455668,2.299338,0.236464
15,0.005687,0.303778,1.532892,0.157643
22,0.002843,0.151889,0.766446,0.078821
