,1,2,3,4+
1,6.999940,0.000000,0.000000,0.000000
2,3.488081,189.511925,0.000000,0.000000
3,37.526782,2038.878233,638.595089,0.000000
4,154.612123,8400.275206,2631.042111,467.070531
5,82.712776,4493.891327,1407.527377,249.868505
6,17.527041,952.266674,298.258528,52.947753
7,4.882628,265.279437,83.087917,14.750018
8,1.976934,107.409337,33.641575,5.972154
9,0.968565,52.623367,16.482114,2.925955
10,0.424576,23.067777,7.225036,1.282610
11,0.331700,18.021701,5.644560,1.002039
12,0.145948,7.929548,2.483606,0.440897
13,0.026536,1.441736,0.451565,0.080163
15,0.013268,0.720868,0.225782,0.040082
17,0.013268,0.720868,0.225782,0.040082
22,0.013268,0.720868,0.225782,0.040082
34,0.013268,0.720868,0.225782,0.040082
45,0.013268,0.720868,0.225782,0.040082
