,1,2,3,4,5,6+
1,6.000017,0.000000,0.000000,0.000000,0.000000,0.000000
2,61.934281,483.066977,0.000000,0.000000,0.000000,0.000000
3,168.293476,1312.633637,670.074470,0.000000,0.000000,0.000000
4,205.178931,1600.328031,816.936979,267.555056,0.000000,0.000000
5,111.277090,867.924620,443.058987,145.106263,37.631927,0.000000
6,51.651982,402.868437,205.656664,67.354620,17.467779,0.000000
7,14.975608,116.804809,59.626630,19.528319,5.064484,0.000000
8,4.991869,38.934936,19.875543,6.509440,1.688161,0.000000
9,1.386630,10.815260,5.520984,1.808178,0.468934,0.000000
10,0.623984,4.866867,2.484443,0.813680,0.211020,0.000000
11,0.207995,1.622289,0.828148,0.271227,0.070340,0.000000
12,0.069332,0.540763,0.276049,0.090409,0.023447,0.000000
34,0.069332,0.540763,0.276049,0.090409,0.023447,0.000000
47,0.069332,0.540763,0.276049,0.090409,0.023447,0.000000
