,1,2,3,4+
1,2.999979,0.000000,0.000000,0.000000
2,427.767009,824.224091,0.000000,0.000000
3,104.063467,200.510125,368.428629,0.000000
4,85.340815,164.435206,302.142535,81.084332
5,66.600889,128.327001,235.795280,63.279084
6,28.986217,55.850820,102.623452,27.540492
7,10.515930,20.262158,37.230834,9.991434
8,3.774949,7.273595,13.364915,3.586669
9,1.348196,2.597713,4.773184,1.280953
10,0.808918,1.558628,2.863910,0.768572
11,0.269639,0.519543,0.954637,0.256191
12,0.134820,0.259771,0.477318,0.128095
13,0.134820,0.259771,0.477318,0.128095
17,0.134820,0.259771,0.477318,0.128095
