,1,2,3,4+
1,2.999983,0.000000,0.000000,0.000000
2,0.984101,20.015890,0.000000,0.000000
3,0.265211,5.394186,35.340602,0.000000
4,0.417318,8.487935,55.609642,126.485106
5,1.428932,29.063402,190.412072,433.095599
6,2.167431,44.083936,288.820758,656.927880
7,2.171801,44.172815,289.403058,658.252332
8,1.669272,33.951741,222.438568,505.940424
9,0.956991,19.464480,127.523681,290.054850
10,0.500345,10.176634,66.673340,151.649682
11,0.253450,5.154976,33.773395,76.818180
12,0.126725,2.577488,16.886698,38.409090
13,0.034959,0.711031,4.658399,10.595611
14,0.028404,0.577713,3.784949,8.608934
15,0.017479,0.355516,2.329200,5.297805
16,0.015294,0.311076,2.038050,4.635580
17,0.006555,0.133318,0.873450,1.986677
18,0.002185,0.044439,0.291150,0.662226
20,0.002185,0.044439,0.291150,0.662226
22,0.002185,0.044439,0.291150,0.662226
23,0.002185,0.044439,0.291150,0.662226
24,0.002185,0.044439,0.291150,0.662226
25,0.004370,0.088879,0.582300,1.324451
29,0.002185,0.044439,0.291150,0.662226
