,1,2,3,4,5,6+
1,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.197416,14.802584,0.000000,0.000000,0.000000,0.000000
3,2.015265,151.107963,481.876772,0.000000,0.000000,0.000000
4,4.526109,339.375285,1082.253133,142.845474,0.000000,0.000000
5,6.024347,451.715752,1440.502034,190.130377,33.627490,0.000000
6,1.654208,124.035289,395.543181,52.207336,9.233673,9.326313
7,0.754453,56.570149,180.399762,23.810778,4.211303,4.253555
8,0.315752,23.675655,75.500641,9.965252,1.762508,1.780192
9,0.108977,8.171244,26.057743,3.439335,0.608299,0.614402
10,0.072651,5.447496,17.371829,2.292890,0.405533,0.409602
11,0.036326,2.723748,8.685914,1.146445,0.202766,0.204801
12,0.011177,0.838076,2.672589,0.352752,0.062390,0.063016
14,0.002794,0.209519,0.668147,0.088188,0.015597,0.015754
55,0.008383,0.628557,2.004442,0.264564,0.046792,0.047262
66,0.002794,0.209519,0.668147,0.088188,0.015597,0.015754
