,1,2,3,4+
1,4.999951,0.000000,0.000000,0.000000
2,0.085589,11.914411,0.000000,0.000000
3,0.015964,2.222318,47.761718,0.000000
4,0.114976,16.005262,343.982651,429.897117
5,0.299519,41.694721,896.096577,1119.909197
6,0.291514,40.580430,872.148417,1089.979651
7,0.215834,30.045321,645.729457,807.009397
8,0.106825,14.870712,319.599071,399.423397
9,0.040605,5.652491,121.482481,151.824425
10,0.017465,2.431179,52.250529,65.300828
11,0.006695,0.931952,20.029370,25.031984
12,0.003638,0.506496,10.885527,13.604339
13,0.002038,0.283638,6.095895,7.618430
14,0.000728,0.101299,2.177105,2.720868
15,0.000582,0.081039,1.741684,2.176694
16,0.000728,0.101299,2.177105,2.720868
18,0.000146,0.020260,0.435421,0.544174
19,0.000146,0.020260,0.435421,0.544174
20,0.000146,0.020260,0.435421,0.544174
