,1,2,3,4,5,6+
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,2.796761,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.287452,11.747281,0.000000,0.000000,0.000000
4,0.000000,4.439523,181.429874,223.232141,0.000000,0.000000
5,0.000000,8.205408,335.330237,412.591846,95.693452,0.000000
6,0.000000,8.205680,335.341364,412.605537,95.696627,32.868887
7,0.000000,7.046686,287.976765,354.327919,82.180154,28.226389
8,0.000000,3.662422,149.672134,184.157274,42.712054,14.670294
9,0.000000,1.780215,72.752025,89.514422,20.761302,7.130877
10,0.000000,0.704669,28.797676,35.432792,8.218015,2.822639
11,0.000000,0.241071,9.851837,12.121745,2.811426,0.965640
12,0.000000,0.120535,4.925918,6.060872,1.405713,0.482820
13,0.000000,0.064904,2.652418,3.263547,0.756922,0.259980
14,0.000000,0.037088,1.515667,1.864884,0.432527,0.148560
15,0.000000,0.027816,1.136750,1.398663,0.324395,0.111420
16,0.000000,0.018544,0.757834,0.932442,0.216264,0.074280
17,0.000000,0.009272,0.378917,0.466221,0.108132,0.037140
18,0.000000,0.009272,0.378917,0.466221,0.108132,0.037140
23,0.000000,0.009272,0.378917,0.466221,0.108132,0.037140
60,0.000000,0.009272,0.378917,0.466221,0.108132,0.037140
