,1,2,3,4+
1,3.999967,0.000000,0.000000,0.000000
2,0.141399,21.858600,0.000000,0.000000
3,0.215900,33.375608,325.408494,0.000000
4,1.265287,195.598805,1907.066768,240.069151
5,1.650703,255.179670,2487.973625,313.196017
6,0.454510,70.262028,685.047022,86.236444
7,0.178673,27.620821,269.299957,33.900550
8,0.041564,6.425387,62.646818,7.886231
9,0.016194,2.503398,24.407851,3.072557
10,0.002699,0.417233,4.067975,0.512093
11,0.001080,0.166893,1.627190,0.204837
12,0.001080,0.166893,1.627190,0.204837
44,0.000540,0.083447,0.813595,0.102419
