,1,2,3,4,5,6+
1,25.999999,0.000000,0.000000,0.000000,0.000000,0.000000
2,894.450895,737.549018,0.000000,0.000000,0.000000,0.000000
3,587.449877,484.401192,132.148874,0.000000,0.000000,0.000000
4,102.236536,84.302511,22.998461,21.462490,0.000000,0.000000
5,20.801373,17.152459,4.679341,4.366827,0.000000,0.000000
6,2.734922,2.255170,0.615230,0.574142,0.000000,7.820621
7,1.367461,1.127585,0.307615,0.287071,0.000000,3.910311
9,0.195352,0.161084,0.043945,0.041010,0.000000,0.558616
10,0.195352,0.161084,0.043945,0.041010,0.000000,0.558616
11,0.195352,0.161084,0.043945,0.041010,0.000000,0.558616
