,1,2,3,4+
1,4.999960,0.000000,0.000000,0.000000
2,0.514433,21.485563,0.000000,0.000000
3,0.235342,9.829193,86.935464,0.000000
4,0.702462,29.338727,259.489859,409.468955
5,1.916446,80.041419,707.935853,1117.106291
6,2.282249,95.319382,843.063620,1330.334760
7,2.250091,93.976264,831.184256,1311.589400
8,1.424019,59.474929,526.033091,830.067968
9,0.703467,29.380699,259.861089,410.054748
10,0.385902,16.117412,142.552369,224.944319
11,0.153758,6.421781,56.798210,89.626252
12,0.077381,3.231877,28.584720,45.106022
13,0.048238,2.014677,17.819046,28.118040
14,0.024119,1.007338,8.909523,14.059020
15,0.009045,0.377752,3.341071,5.272132
16,0.009045,0.377752,3.341071,5.272132
17,0.001005,0.041972,0.371230,0.585792
18,0.001005,0.041972,0.371230,0.585792
19,0.001005,0.041972,0.371230,0.585792
20,0.001005,0.041972,0.371230,0.585792
21,0.001005,0.041972,0.371230,0.585792
55,0.001005,0.041972,0.371230,0.585792
