,1,2,3,4,5,6+
1,14.999985,0.000000,0.000000,0.000000,0.000000,0.000000
2,56.480462,445.519197,0.000000,0.000000,0.000000,0.000000
3,121.026973,954.663578,1879.309462,0.000000,0.000000,0.000000
4,158.882814,1253.271335,2467.135788,284.710224,0.000000,0.000000
5,112.242029,885.367734,1742.896658,201.132220,43.361498,0.000000
6,22.823033,180.028617,354.396556,40.897758,8.817026,7.037041
7,4.646383,36.650777,72.149136,8.326091,1.794997,1.432622
8,1.300987,10.262218,20.201758,2.331305,0.502599,0.401134
9,0.557566,4.398093,8.657896,0.999131,0.215400,0.171915
10,0.260197,2.052444,4.040352,0.466261,0.100520,0.080227
44,0.037171,0.293206,0.577193,0.066609,0.014360,0.011461
