,1,2,3,4+
1,10.999892,0.000000,0.000000,0.000000
2,12.924115,239.075419,0.000000,0.000000
3,40.958004,757.657460,1698.384284,0.000000
4,72.232766,1336.190444,2995.238575,738.338569
5,69.858722,1292.274422,2896.795300,714.071899
6,14.876410,275.189747,616.872355,152.061561
7,5.492612,101.604524,227.759293,56.143598
8,2.472378,45.735029,102.520807,25.271799
9,1.418808,26.245670,58.832963,14.502566
10,0.674285,12.473190,27.960220,6.892309
11,0.421428,7.795744,17.475138,4.307693
12,0.252857,4.677446,10.485083,2.584616
13,0.126428,2.338723,5.242541,1.292308
14,0.084286,1.559149,3.495028,0.861539
15,0.028095,0.519716,1.165009,0.287180
16,0.042143,0.779574,1.747514,0.430769
17,0.028095,0.519716,1.165009,0.287180
19,0.014048,0.259858,0.582505,0.143590
20,0.014048,0.259858,0.582505,0.143590
25,0.014048,0.259858,0.582505,0.143590
26,0.014048,0.259858,0.582505,0.143590
27,0.014048,0.259858,0.582505,0.143590
40,0.014048,0.259858,0.582505,0.143590
