,1,2,3,4+
1,4.999991,0.000000,0.000000,0.000000
2,30.030176,412.969194,0.000000,0.000000
3,86.050893,1183.355312,1793.593714,0.000000
4,119.053127,1637.195682,2481.472685,493.278870
5,86.565791,1190.436091,1804.325943,358.672440
6,19.527632,268.540235,407.022364,80.909829
7,6.089803,83.745795,126.932232,25.232189
8,2.164145,29.760902,45.108149,8.966811
9,0.855592,11.765938,17.833454,3.545018
10,0.452961,6.229026,9.441240,1.876774
11,0.201316,2.768456,4.196107,0.834122
12,0.075493,1.038171,1.573540,0.312796
13,0.075493,1.038171,1.573540,0.312796
14,0.025164,0.346057,0.524513,0.104265
15,0.050329,0.692114,1.049027,0.208530
16,0.025164,0.346057,0.524513,0.104265
24,0.025164,0.346057,0.524513,0.104265
41,0.025164,0.346057,0.524513,0.104265
