,1,2,3,4,5,6+
1,11.999948,0.000000,0.000000,0.000000,0.000000,0.000000
2,539.543083,678.451716,0.000000,0.000000,0.000000,0.000000
3,164.868245,207.314573,403.818915,0.000000,0.000000,0.000000
4,130.910478,164.614173,320.644689,50.832491,0.000000,0.000000
5,72.284876,90.895055,177.050470,28.068191,6.702479,0.000000
6,27.564633,34.661314,67.515246,10.703337,2.555879,0.000000
7,10.409022,13.088888,25.495268,4.041820,0.965157,0.000000
8,2.313116,2.908642,5.665615,0.898182,0.214479,0.000000
9,0.771039,0.969547,1.888538,0.299394,0.071493,0.000000
10,0.385519,0.484774,0.944269,0.149697,0.035747,0.000000
13,0.192760,0.242387,0.472135,0.074849,0.017873,0.000000
