,1,2,3,4+
1,1.999997,0.000000,0.000000,0.000000
2,2.976008,57.023960,0.000000,0.000000
3,3.902496,74.776615,638.320883,0.000000
4,14.161346,271.348748,2316.333419,440.156500
5,18.690929,358.141099,3057.225075,580.942915
6,5.181321,99.280459,847.494772,161.043453
7,1.876076,35.947911,306.864684,58.311331
8,0.837949,16.056139,137.061149,26.044763
9,0.391043,7.492865,63.961870,12.154223
10,0.176900,3.389629,28.935131,5.498339
11,0.097761,1.873216,15.990467,3.038556
12,0.009311,0.178402,1.522902,0.289386
13,0.018621,0.356803,3.045803,0.578773
14,0.009311,0.178402,1.522902,0.289386
20,0.004655,0.089201,0.761451,0.144693
21,0.004655,0.089201,0.761451,0.144693
50,0.004655,0.089201,0.761451,0.144693
