,1,2,3,4+
1,10.999929,0.000000,0.000000,0.000000
2,8.227962,146.771920,0.000000,0.000000
3,14.206965,253.426498,889.366528,0.000000
4,33.132229,591.018877,2074.101999,322.746960
5,47.071674,839.673294,2946.721542,458.533582
6,12.579499,224.395449,787.485929,122.539147
7,4.694007,83.732565,293.848281,45.725157
8,1.875409,33.453899,117.402000,18.268696
9,0.789646,14.085852,49.432421,7.692082
10,0.263215,4.695284,16.477474,2.564027
11,0.142575,2.543279,8.925298,1.388848
12,0.032902,0.586911,2.059684,0.320503
13,0.021935,0.391274,1.373123,0.213669
15,0.032902,0.586911,2.059684,0.320503
19,0.010967,0.195637,0.686561,0.106834
26,0.010967,0.195637,0.686561,0.106834
28,0.010967,0.195637,0.686561,0.106834
