,1,2,3,4+
1,15.000035,0.000000,0.000000,0.000000
2,239.168616,1100.834139,0.000000,0.000000
3,328.623846,1512.574491,771.802081,0.000000
4,180.500656,830.799992,423.921709,198.775687
5,73.017707,336.082494,171.488525,80.410483
6,25.296604,116.434026,59.411304,27.857792
7,10.936086,50.336107,25.684363,12.043325
8,3.645362,16.778702,8.561454,4.014442
9,1.877914,8.643574,4.410446,2.068046
10,0.220931,1.016891,0.518876,0.243299
11,0.220931,1.016891,0.518876,0.243299
12,0.110466,0.508446,0.259438,0.121650
13,0.110466,0.508446,0.259438,0.121650
21,0.110466,0.508446,0.259438,0.121650
