,1,2,3,4+
1,834.002857,0.000000,0.000000,0.000000
2,4300.124257,3637.883520,0.000000,0.000000
3,3939.777196,3333.031717,389.190570,0.000000
4,412.195402,348.715239,40.718689,54.362644
5,81.379700,68.846817,8.039087,10.732812
6,14.927637,12.628706,1.474625,1.968741
7,5.296904,4.481154,0.523254,0.698585
8,2.407683,2.036888,0.237843,0.317539
9,1.444610,1.222133,0.142706,0.190523
10,0.481537,0.407378,0.047569,0.063508
11,0.481537,0.407378,0.047569,0.063508
12,0.481537,0.407378,0.047569,0.063508
31,0.481537,0.407378,0.047569,0.063508
