,1,2,3,4+
1,6.999947,0.000000,0.000000,0.000000
2,1.181776,45.818208,0.000000,0.000000
3,0.096410,3.737865,115.165725,0.000000
4,0.275030,10.663097,328.536023,593.525857
5,0.651465,25.257711,778.204299,1405.886542
6,0.737541,28.594929,881.025862,1591.641686
7,0.546228,21.177620,652.494374,1178.781793
8,0.291243,11.291683,347.903098,628.513983
9,0.109364,4.240095,130.639726,236.010818
10,0.039795,1.542892,47.537367,85.879947
11,0.016508,0.640014,19.719204,35.624274
12,0.004716,0.182861,5.634058,10.178364
13,0.003832,0.148575,4.577672,8.269921
14,0.000295,0.011429,0.352129,0.636148
15,0.001179,0.045715,1.408515,2.544591
17,0.000295,0.011429,0.352129,0.636148
20,0.000295,0.011429,0.352129,0.636148
21,0.000295,0.011429,0.352129,0.636148
