,1,2,3,4,5,6+
2,5.735290,124.264617,0.000000,0.000000,0.000000,0.000000
3,15.664015,339.386981,810.949004,0.000000,0.000000,0.000000
4,38.477802,833.685714,1992.052248,170.784282,0.000000,0.000000
5,30.236819,655.131077,1565.404461,134.206559,26.021123,0.000000
6,5.335488,115.602247,276.226055,23.681642,4.591601,4.562973
7,1.451749,31.454565,75.159182,6.443610,1.249343,1.241553
8,0.570773,12.366752,29.549764,2.533385,0.491194,0.488132
9,0.136489,2.957267,7.066248,0.605809,0.117460,0.116727
10,0.086857,1.881897,4.496703,0.385515,0.074747,0.074281
11,0.012408,0.268842,0.642386,0.055074,0.010678,0.010612
13,0.012408,0.268842,0.642386,0.055074,0.010678,0.010612
17,0.012408,0.268842,0.642386,0.055074,0.010678,0.010612
