,1,2,3,4,5,6+
1,10.000056,0.000000,0.000000,0.000000,0.000000,0.000000
2,255.065774,1028.941020,0.000000,0.000000,0.000000,0.000000
3,266.473327,1074.959346,1171.567437,0.000000,0.000000,0.000000
4,161.564178,651.753498,710.327491,221.352357,0.000000,0.000000
5,112.645455,454.414278,495.253121,154.330850,46.353961,0.000000
6,57.114014,230.399206,251.105503,78.249534,23.502598,5.627886
7,24.313241,98.080157,106.894757,33.310560,10.004976,2.395772
8,9.018002,36.378822,39.648237,12.355190,3.710936,0.888614
9,4.420589,17.832756,19.435410,6.056465,1.819087,0.435595
10,1.591412,6.419792,6.996748,2.180328,0.654871,0.156814
11,0.618883,2.496586,2.720957,0.847905,0.254672,0.060983
12,0.088412,0.356655,0.388708,0.121129,0.036382,0.008712
13,0.176824,0.713310,0.777416,0.242259,0.072763,0.017424
15,0.176824,0.713310,0.777416,0.242259,0.072763,0.017424
