,1,2,3,4+
1,6.999993,0.000000,0.000000,0.000000
2,35.159773,328.839943,0.000000,0.000000
3,58.413951,546.330045,839.255883,0.000000
4,90.377571,845.277233,1298.489616,459.855762
5,77.931365,728.871200,1119.670148,396.527444
6,22.946644,214.613819,329.683332,116.756251
7,8.219193,76.871909,118.088328,41.820587
8,3.857988,36.082733,55.429215,19.630072
9,1.039979,9.726650,14.941788,5.291584
10,0.738050,6.902784,10.603850,3.755318
11,0.234834,2.196340,3.373952,1.194874
12,0.167739,1.568814,2.409966,0.853481
15,0.033548,0.313763,0.481993,0.170696
20,0.033548,0.313763,0.481993,0.170696
