,1,2,3,4,5,6+
1,5.000016,0.000000,0.000000,0.000000,0.000000,0.000000
2,10.981045,215.019558,0.000000,0.000000,0.000000,0.000000
3,33.938044,664.539934,1034.525380,0.000000,0.000000,0.000000
4,54.449090,1066.166185,1659.758763,619.630031,0.000000,0.000000
5,47.254560,925.290290,1440.449611,537.756363,235.250307,0.000000
6,16.355791,320.262312,498.569723,186.128719,81.425049,174.253594
7,6.839462,133.923316,208.485695,77.832996,34.049316,72.867204
8,3.701506,72.479098,112.832146,42.123101,18.427439,39.435622
9,1.985237,38.872873,60.515511,22.591975,9.883228,21.150593
10,1.050254,20.565004,32.014657,11.951883,5.228547,11.189346
11,0.473895,9.279331,14.445638,5.392923,2.359222,5.048851
12,0.307392,6.019025,9.370144,3.498112,1.530306,3.274931
13,0.166504,3.260305,5.075494,1.894811,0.828916,1.773921
14,0.115272,2.257135,3.513804,1.311792,0.573865,1.228099
15,0.064040,1.253964,1.952113,0.728773,0.318814,0.682277
16,0.025616,0.501585,0.780845,0.291509,0.127526,0.272911
19,0.025616,0.501585,0.780845,0.291509,0.127526,0.272911
20,0.012808,0.250793,0.390423,0.145755,0.063763,0.136455
21,0.012808,0.250793,0.390423,0.145755,0.063763,0.136455
22,0.012808,0.250793,0.390423,0.145755,0.063763,0.136455
25,0.012808,0.250793,0.390423,0.145755,0.063763,0.136455
28,0.025616,0.501585,0.780845,0.291509,0.127526,0.272911
50,0.012808,0.250793,0.390423,0.145755,0.063763,0.136455
