,1,2,3,4,5,6+
1,2.999996,0.000000,0.000000,0.000000,0.000000,0.000000
2,19.280632,225.719118,0.000000,0.000000,0.000000,0.000000
3,32.971073,385.993660,609.035345,0.000000,0.000000,0.000000
4,65.732087,769.528146,1214.190512,182.549431,0.000000,0.000000
5,49.926713,584.494009,922.236677,138.655161,33.687517,0.000000
6,11.317062,132.489298,209.046608,31.429450,7.636067,10.081461
7,3.434531,40.208195,63.442005,9.538291,2.317413,3.059548
8,1.210532,14.171741,22.360707,3.361857,0.816793,1.078365
9,0.534886,6.261932,9.880312,1.485471,0.360909,0.476487
10,0.084456,0.988726,1.560049,0.234548,0.056986,0.075235
11,0.112608,1.318301,2.080066,0.312731,0.075981,0.100313
13,0.056304,0.659151,1.040033,0.156365,0.037990,0.050157
14,0.028152,0.329575,0.520016,0.078183,0.018995,0.025078
15,0.056304,0.659151,1.040033,0.156365,0.037990,0.050157
41,0.028152,0.329575,0.520016,0.078183,0.018995,0.025078
