,1,2,3,4,5,6+
1,3.999972,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.157229,16.842770,0.000000,0.000000,0.000000,0.000000
3,0.042218,4.522525,53.435257,0.000000,0.000000,0.000000
4,0.316445,33.898430,400.522119,368.263010,0.000000,0.000000
5,0.738521,79.112458,934.742089,859.455494,105.951446,0.000000
6,0.566892,60.727037,717.511733,659.721444,81.328750,28.144152
7,0.454466,48.683626,575.214510,528.885214,65.199599,22.562592
8,0.192260,20.595410,243.342158,223.742738,27.582425,9.545013
9,0.066284,7.100513,83.895106,77.137972,9.509369,3.290757
10,0.027466,2.942201,34.763165,31.963248,3.940346,1.363573
11,0.009521,1.019963,12.051231,11.080593,1.365987,0.472705
12,0.003662,0.392294,4.635089,4.261766,0.525380,0.181810
13,0.001099,0.117688,1.390527,1.278530,0.157614,0.054543
14,0.001465,0.156917,1.854035,1.704707,0.210152,0.072724
15,0.000732,0.078459,0.927018,0.852353,0.105076,0.036362
17,0.000366,0.039229,0.463509,0.426177,0.052538,0.018181
19,0.000366,0.039229,0.463509,0.426177,0.052538,0.018181
23,0.000366,0.039229,0.463509,0.426177,0.052538,0.018181
24,0.000366,0.039229,0.463509,0.426177,0.052538,0.018181
