,1,2,3,4,5,6+
1,3.999986,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.114581,67.885414,0.000000,0.000000,0.000000,0.000000
3,1.830781,111.506774,744.662445,0.000000,0.000000,0.000000
4,7.524665,458.302277,3060.625664,257.547399,0.000000,0.000000
5,14.560169,886.811391,5922.287186,498.352241,77.989023,0.000000
6,2.695686,164.185252,1096.458870,92.265491,14.438975,22.955728
7,0.721817,43.963459,293.595950,24.705691,3.866287,6.146796
8,0.270923,16.501030,110.196871,9.272914,1.451153,2.307108
9,0.102564,6.246819,41.717387,3.510460,0.549365,0.873405
10,0.048379,2.946613,19.678013,1.655877,0.259135,0.411984
11,0.011611,0.707187,4.722723,0.397411,0.062192,0.098876
13,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
14,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
15,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
17,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
23,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
33,0.001935,0.117865,0.787121,0.066235,0.010365,0.016479
