,1,2,3,4+
1,11.999926,0.000000,0.000000,0.000000
2,24.462864,273.536446,0.000000,0.000000
3,45.714685,511.167962,893.117332,0.000000
4,98.795378,1104.700427,1930.142677,216.361840
5,115.900249,1295.961993,2264.316633,253.821502
6,19.641111,219.621040,383.723887,43.014025
7,4.777568,53.421334,93.338243,10.462871
8,1.268120,14.179737,24.774966,2.777182
9,0.383385,4.286897,7.490106,0.839613
10,0.058982,0.659523,1.152324,0.129171
11,0.058982,0.659523,1.152324,0.129171
13,0.058982,0.659523,1.152324,0.129171
14,0.029491,0.329761,0.576162,0.064586
15,0.029491,0.329761,0.576162,0.064586
33,0.088473,0.989284,1.728486,0.193757
41,0.029491,0.329761,0.576162,0.064586
