,1,2,3,4,5,6+
1,38.000374,0.000000,0.000000,0.000000,0.000000,0.000000
2,244.098234,817.910377,0.000000,0.000000,0.000000,0.000000
3,226.266606,758.161181,774.572259,0.000000,0.000000,0.000000
4,149.534165,501.050512,511.896200,176.515918,0.000000,0.000000
5,102.938230,344.919523,352.385616,121.512273,37.241361,0.000000
6,47.595224,159.479348,162.931422,56.183245,17.219170,9.589986
7,21.958944,73.578772,75.171451,25.921188,7.944385,4.424519
8,8.825604,29.572329,30.212449,10.418085,3.192959,1.778275
9,2.836801,9.505392,9.711144,3.348670,1.026308,0.571589
10,1.576001,5.280773,5.395080,1.860372,0.570171,0.317549
11,0.735467,2.464361,2.517704,0.868174,0.266080,0.148190
12,0.210133,0.704103,0.719344,0.248050,0.076023,0.042340
14,0.105067,0.352052,0.359672,0.124025,0.038011,0.021170
