,1,2,3,4,5,6+
1,6.999951,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.382214,18.617783,0.000000,0.000000,0.000000,0.000000
3,0.106013,5.163911,69.730076,0.000000,0.000000,0.000000
4,0.537009,26.157885,353.218952,408.086158,0.000000,0.000000
5,1.196562,58.284903,787.041175,909.296083,245.181287,0.000000
6,1.232354,60.028311,810.583009,936.494783,252.515106,57.146449
7,1.085728,52.886132,714.139705,825.070475,222.470816,50.347155
8,0.762221,37.127992,501.352097,579.229540,156.182620,35.345538
9,0.391002,19.045810,257.182144,297.131489,80.118107,18.131451
10,0.169318,8.247516,111.369054,128.668547,34.694002,7.851566
11,0.075058,3.656115,49.369787,57.038634,15.379815,3.480591
12,0.038402,1.870571,25.258961,29.182557,7.868743,1.780768
13,0.015128,0.736891,9.950500,11.496159,3.099808,0.701514
14,0.008728,0.425130,5.740673,6.632399,1.788351,0.404720
15,0.004073,0.198394,2.678981,3.095120,0.834564,0.188869
16,0.001746,0.085026,1.148135,1.326480,0.357670,0.080944
17,0.000582,0.028342,0.382712,0.442160,0.119223,0.026981
19,0.001164,0.056684,0.765423,0.884320,0.238447,0.053963
20,0.000582,0.028342,0.382712,0.442160,0.119223,0.026981
27,0.000582,0.028342,0.382712,0.442160,0.119223,0.026981
52,0.000582,0.028342,0.382712,0.442160,0.119223,0.026981
