,1,2,3,4+
1,12.999890,0.000000,0.000000,0.000000
2,0.753090,127.246905,0.000000,0.000000
3,2.109356,356.410414,1395.480240,0.000000
4,5.988849,1011.914500,3962.024206,308.072481
5,8.914189,1506.198758,5897.332172,458.554935
6,1.493815,252.404543,988.258307,76.843344
7,0.535689,90.513532,354.394374,27.556408
8,0.181206,30.617685,119.879704,9.321406
9,0.049832,8.419863,32.966919,2.563387
10,0.010193,1.722245,6.743233,0.524329
11,0.002265,0.382721,1.498496,0.116518
12,0.003398,0.574082,2.247744,0.174776
15,0.002265,0.382721,1.498496,0.116518
17,0.001133,0.191361,0.749248,0.058259
19,0.001133,0.191361,0.749248,0.058259
40,0.001133,0.191361,0.749248,0.058259
