,1,2,3,4+
1,3.999971,0.000000,0.000000,0.000000
2,0.127093,18.872906,0.000000,0.000000
3,0.047473,7.049550,82.902977,0.000000
4,0.189874,28.195675,331.582195,427.032258
5,0.529573,78.639781,924.806758,1191.023896
6,0.575654,85.482695,1005.279692,1294.661966
7,0.484939,72.011826,846.861769,1090.641472
8,0.252361,37.474811,440.705180,567.567651
9,0.112911,16.766933,197.179755,253.940402
10,0.046805,6.950395,81.736907,105.265893
11,0.024850,3.690158,43.396399,55.888593
12,0.013269,1.970473,23.172834,29.843423
13,0.008203,1.218110,14.325025,18.448662
14,0.003619,0.537402,6.319864,8.139115
15,0.001930,0.286614,3.370594,4.340862
16,0.000965,0.143307,1.685297,2.170431
17,0.000724,0.107480,1.263973,1.627823
18,0.000483,0.071654,0.842649,1.085215
19,0.000241,0.035827,0.421324,0.542608
22,0.000241,0.035827,0.421324,0.542608
23,0.000241,0.035827,0.421324,0.542608
30,0.000241,0.035827,0.421324,0.542608
