,1,2,3,4,5,6+
1,4.999995,0.000000,0.000000,0.000000,0.000000,0.000000
2,4.441604,88.558386,0.000000,0.000000,0.000000,0.000000
3,10.719020,213.719890,720.561088,0.000000,0.000000,0.000000
4,24.281534,484.134428,1632.269372,228.314671,0.000000,0.000000
5,29.760538,593.376894,2000.582635,279.832712,59.447228,0.000000
6,8.893088,177.313757,597.817047,83.620023,17.764108,14.591979
7,3.596760,71.713564,241.783784,33.819654,7.184595,5.901645
8,1.274676,25.414972,85.687110,11.985537,2.546189,2.091517
9,0.513823,10.244795,34.540541,4.831379,1.026371,0.843092
10,0.286555,5.713443,19.262994,2.694423,0.572399,0.470186
11,0.108693,2.167168,7.306653,1.022023,0.217117,0.178346
12,0.059287,1.182092,3.985447,0.557467,0.118427,0.097280
13,0.009881,0.197015,0.664241,0.092911,0.019738,0.016213
14,0.019762,0.394031,1.328482,0.185822,0.039476,0.032427
15,0.019762,0.394031,1.328482,0.185822,0.039476,0.032427
17,0.009881,0.197015,0.664241,0.092911,0.019738,0.016213
