,1,2,3,4+
1,1384.000716,0.000000,0.000000,0.000000
2,4516.221741,4533.780539,0.000000,0.000000
3,3937.592237,3952.901358,680.507127,0.000000
4,574.993014,577.228552,99.372109,198.403562
5,153.860200,154.458399,26.590606,53.090057
6,32.120299,32.245181,5.551132,11.083233
7,3.172375,3.184709,0.548260,1.094640
8,1.189641,1.194266,0.205597,0.410490
9,1.586188,1.592355,0.274130,0.547320
10,3.568922,3.582798,0.616792,1.231470
11,0.793094,0.796177,0.137065,0.273660
12,0.793094,0.796177,0.137065,0.273660
13,0.396547,0.398089,0.068532,0.136830
24,0.396547,0.398089,0.068532,0.136830
33,0.396547,0.398089,0.068532,0.136830
94,0.396547,0.398089,0.068532,0.136830
