,1,2,3,4,5,6+
1,5.999972,0.000000,0.000000,0.000000,0.000000,0.000000
2,37.763190,238.235815,0.000000,0.000000,0.000000,0.000000
3,60.899600,384.195987,599.904686,0.000000,0.000000,0.000000
4,79.925083,504.221640,787.319324,153.534401,0.000000,0.000000
5,55.905410,352.689248,550.708337,107.393115,30.304131,0.000000
6,16.780601,105.863416,165.300944,32.235181,9.096106,5.723792
7,6.361601,40.133295,62.666328,12.220502,3.448374,2.169915
8,1.853380,11.692377,18.257119,3.560304,1.004645,0.632180
9,0.601096,3.792122,5.921228,1.154693,0.325831,0.205031
10,0.150274,0.948031,1.480307,0.288673,0.081458,0.051258
11,0.200365,1.264041,1.973743,0.384898,0.108610,0.068344
14,0.050091,0.316010,0.493436,0.096224,0.027153,0.017086
33,0.050091,0.316010,0.493436,0.096224,0.027153,0.017086
