,1,2,3,4,5,6+
1,3.999989,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.579882,19.420116,0.000000,0.000000,0.000000,0.000000
3,0.204789,6.858345,75.936866,0.000000,0.000000,0.000000
4,0.712268,23.853694,264.112525,324.321513,0.000000,0.000000
5,1.588507,53.198739,589.026307,723.304975,297.881474,0.000000
6,1.819592,60.937717,674.713707,828.526291,341.215173,149.787523
7,1.883282,63.070685,698.330327,857.526725,353.158534,155.030450
8,1.431259,47.932536,530.717928,651.704200,268.393850,117.820229
9,0.933238,31.253909,346.049082,424.936916,175.003407,76.823450
10,0.508637,17.034121,188.604950,231.600689,95.381004,41.870601
11,0.217608,7.287641,80.690118,99.084816,40.806482,17.913335
12,0.106150,3.554947,39.361033,48.334057,19.905601,8.738212
13,0.067228,2.251466,24.928654,30.611569,12.606880,5.534201
14,0.022999,0.770239,8.528224,10.472379,4.312880,1.893279
15,0.016807,0.562867,6.232164,7.652892,3.151720,1.383550
16,0.008846,0.296246,3.280086,4.027838,1.658800,0.728184
17,0.007077,0.236996,2.624069,3.222270,1.327040,0.582547
19,0.002654,0.088874,0.984026,1.208351,0.497640,0.218455
20,0.002654,0.088874,0.984026,1.208351,0.497640,0.218455
22,0.000885,0.029625,0.328009,0.402784,0.165880,0.072818
46,0.000885,0.029625,0.328009,0.402784,0.165880,0.072818
54,0.000885,0.029625,0.328009,0.402784,0.165880,0.072818
