,1,2,3,4,5,6+
1,0.999997,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.500029,66.499929,0.000000,0.000000,0.000000,0.000000
3,2.821166,125.069163,491.109687,0.000000,0.000000,0.000000
4,8.532834,378.281322,1485.399095,276.786799,0.000000,0.000000
5,11.890009,527.113075,2069.817458,385.686346,81.493143,0.000000
6,4.564213,202.342672,794.539946,148.053254,31.282738,25.217147
7,2.039893,90.433416,355.105333,66.169738,13.981257,11.270350
8,0.635811,28.187039,110.682182,20.624334,4.357794,3.512836
9,0.158953,7.046760,27.670545,5.156083,1.089449,0.878209
10,0.068123,3.020040,11.858805,2.209750,0.466907,0.376375
11,0.026492,1.174460,4.611758,0.859347,0.181575,0.146368
12,0.018923,0.838900,3.294113,0.613819,0.129696,0.104549
13,0.007569,0.335560,1.317645,0.245528,0.051879,0.041819
14,0.003785,0.167780,0.658823,0.122764,0.025939,0.020910
16,0.003785,0.167780,0.658823,0.122764,0.025939,0.020910
