,1,2,3,4+
1,5.999943,0.000000,0.000000,0.000000
2,0.047686,7.952314,0.000000,0.000000
3,0.034566,5.764484,47.200950,0.000000
4,0.150089,25.029568,204.947973,207.872377
5,0.324849,54.173586,443.586023,449.915556
6,0.333074,55.545069,454.816049,461.305823
7,0.246378,41.087351,336.432859,341.233423
8,0.133641,22.286602,182.487921,185.091843
9,0.055855,9.314657,76.270593,77.358898
10,0.023987,4.000159,32.754242,33.221613
11,0.010623,1.771499,14.505450,14.712429
12,0.004112,0.685742,5.615013,5.695134
13,0.003084,0.514306,4.211260,4.271350
15,0.001028,0.171435,1.403753,1.423783
16,0.000343,0.057145,0.467918,0.474594
22,0.000343,0.057145,0.467918,0.474594
25,0.000343,0.057145,0.467918,0.474594
