,1,2,3,4,5,6+
1,59.999654,0.000000,0.000000,0.000000,0.000000,0.000000
2,272.707429,673.288050,0.000000,0.000000,0.000000,0.000000
3,144.832545,357.577431,534.589878,0.000000,0.000000,0.000000
4,115.644603,285.515247,426.854572,246.987048,0.000000,0.000000
5,90.283225,222.900478,333.243457,192.821685,56.752702,0.000000
6,53.459665,131.986699,197.324403,114.176057,33.605140,12.449042
7,30.421798,75.108453,112.289578,64.973115,19.123367,7.084262
8,12.503457,30.869817,46.151380,26.704161,7.859766,2.911654
9,5.217978,12.882680,19.260025,11.144256,3.280060,1.215100
10,2.855120,7.049013,10.538504,6.097800,1.794750,0.664866
11,1.082977,2.673764,3.997364,2.312959,0.680767,0.252191
12,0.295357,0.729208,1.090190,0.630807,0.185664,0.068779
41,0.098452,0.243069,0.363397,0.210269,0.061888,0.022926
