,1,2,3,4,5,6+
1,12.000058,0.000000,0.000000,0.000000,0.000000,0.000000
2,104.133507,368.868356,0.000000,0.000000,0.000000,0.000000
3,114.547062,405.755916,256.697014,0.000000,0.000000,0.000000
4,92.917271,329.137488,208.225209,50.719330,0.000000,0.000000
5,40.270348,142.648198,90.244812,21.981759,10.854368,0.000000
6,20.037612,70.978507,44.903771,10.937625,5.400887,5.741207
7,8.750603,30.996943,19.609875,4.776558,2.358615,2.507236
8,4.058250,14.375394,9.094435,2.215215,1.093851,1.162776
9,1.521844,5.390773,3.410413,0.830706,0.410194,0.436041
10,0.887742,3.144617,1.989408,0.484578,0.239280,0.254357
11,0.253641,0.898462,0.568402,0.138451,0.068366,0.072674
13,0.253641,0.898462,0.568402,0.138451,0.068366,0.072674
