,1,2,3,4,5,6+
1,3.999983,0.000000,0.000000,0.000000,0.000000,0.000000
2,2.007504,25.992478,0.000000,0.000000,0.000000,0.000000
3,0.408761,5.292497,79.298739,0.000000,0.000000,0.000000
4,1.021880,13.230952,198.242475,337.504695,0.000000,0.000000
5,2.229796,28.870638,432.575587,736.453130,177.870857,0.000000
6,2.643990,34.233484,512.928371,873.252480,210.911137,47.030548
7,2.425361,31.402756,470.514901,801.044215,193.471132,43.141645
8,1.519390,19.672543,294.758362,501.821473,121.201760,27.026478
9,0.714082,9.245688,138.530328,235.845703,56.962318,12.701885
10,0.320865,4.154450,62.247108,105.974721,25.595403,5.707455
11,0.136839,1.771751,26.546561,45.195102,10.915686,2.434062
12,0.062915,0.814598,12.205315,20.779357,5.018706,1.119109
13,0.025166,0.325839,4.882126,8.311743,2.007483,0.447644
14,0.022020,0.285109,4.271860,7.272775,1.756547,0.391688
15,0.006291,0.081460,1.220532,2.077936,0.501871,0.111911
16,0.012583,0.162920,2.441063,4.155871,1.003741,0.223822
17,0.001573,0.020365,0.305133,0.519484,0.125468,0.027978
18,0.004719,0.061095,0.915399,1.558452,0.376403,0.083933
20,0.001573,0.020365,0.305133,0.519484,0.125468,0.027978
22,0.001573,0.020365,0.305133,0.519484,0.125468,0.027978
24,0.001573,0.020365,0.305133,0.519484,0.125468,0.027978
25,0.001573,0.020365,0.305133,0.519484,0.125468,0.027978
