,1,2,3,4,5,6+
1,19.999960,0.000000,0.000000,0.000000,0.000000,0.000000
2,17.119594,265.880356,0.000000,0.000000,0.000000,0.000000
3,43.108707,669.511118,1264.380178,0.000000,0.000000,0.000000
4,93.175888,1447.092665,2732.852724,315.878762,0.000000,0.000000
5,73.379968,1139.646917,2152.237556,248.767937,72.967658,0.000000
6,17.126482,265.987334,502.320431,58.061071,17.030251,22.474439
7,6.788526,105.430993,199.107759,23.014015,6.750383,8.908328
8,2.754202,42.774860,80.780862,9.337114,2.738727,3.614236
9,0.775832,12.049256,22.755172,2.630173,0.771472,1.018095
10,0.155166,2.409851,4.551034,0.526035,0.154294,0.203619
11,0.116375,1.807388,3.413276,0.394526,0.115721,0.152714
12,0.135771,2.108620,3.982155,0.460280,0.135008,0.178167
13,0.019396,0.301231,0.568879,0.065754,0.019287,0.025452
14,0.019396,0.301231,0.568879,0.065754,0.019287,0.025452
32,0.019396,0.301231,0.568879,0.065754,0.019287,0.025452
