,1,2,3,4,5,6+
1,7.999949,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.992498,52.007483,0.000000,0.000000,0.000000,0.000000
3,0.432549,11.290233,125.277216,0.000000,0.000000,0.000000
4,0.729765,19.048069,211.358707,348.863462,0.000000,0.000000
5,1.654760,43.191967,479.261090,791.056518,226.835676,0.000000
6,2.211719,57.729505,640.570627,1057.310054,303.183952,83.994160
7,2.148821,56.087780,622.353933,1027.242029,294.561938,81.605515
8,1.426017,37.221401,413.011271,681.706203,195.479443,54.155675
9,0.722804,18.866379,209.342662,345.535827,99.082494,27.449840
10,0.336140,8.773808,97.354790,160.691412,46.078307,12.765546
11,0.143323,3.740980,41.510171,68.515663,19.646885,5.442978
12,0.067022,1.749379,19.411231,32.039699,9.187392,2.545278
13,0.055680,1.453330,16.126254,26.617596,7.632603,2.114538
14,0.026809,0.699752,7.764492,12.815879,3.674957,1.018111
15,0.019591,0.511357,5.674052,9.365450,2.685545,0.744004
16,0.009280,0.242222,2.687709,4.436266,1.272100,0.352423
17,0.006187,0.161481,1.791806,2.957511,0.848067,0.234949
18,0.002062,0.053827,0.597269,0.985837,0.282689,0.078316
19,0.004124,0.107654,1.194537,1.971674,0.565378,0.156632
20,0.004124,0.107654,1.194537,1.971674,0.565378,0.156632
21,0.006187,0.161481,1.791806,2.957511,0.848067,0.234949
22,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
23,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
24,0.004124,0.107654,1.194537,1.971674,0.565378,0.156632
25,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
26,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
29,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
31,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
48,0.001031,0.026914,0.298634,0.492918,0.141344,0.039158
