,1,2,3,4+
1,2.999994,0.000000,0.000000,0.000000
2,0.789830,48.210168,0.000000,0.000000
3,3.750016,228.895999,975.353985,0.000000
4,9.613966,586.823720,2500.527994,407.034324
5,14.722757,898.657557,3829.290301,623.329389
6,5.517604,336.787243,1435.091837,233.603318
7,2.181251,133.140656,567.328697,92.349397
8,0.941093,57.443075,244.772004,39.843828
9,0.370401,22.608791,96.338835,15.681973
10,0.172854,10.550769,44.958123,7.318254
11,0.082311,5.024176,21.408630,3.484883
12,0.038412,2.344615,9.990694,1.626279
13,0.035668,2.177143,9.277073,1.510116
14,0.010975,0.669890,2.854484,0.464651
15,0.008231,0.502418,2.140863,0.348488
16,0.002744,0.167473,0.713621,0.116163
17,0.005487,0.334945,1.427242,0.232326
18,0.002744,0.167473,0.713621,0.116163
20,0.005487,0.334945,1.427242,0.232326
60,0.002744,0.167473,0.713621,0.116163
