,1,2,3,4+
1,112.999193,0.000000,0.000000,0.000000
2,37.256238,630.743656,0.000000,0.000000
3,148.866064,2520.284644,1830.849509,0.000000
4,141.884701,2402.091000,1744.988264,403.036406
5,75.810943,1283.470191,932.371180,215.347884
6,31.025938,525.265423,381.576718,88.132002
7,11.763246,199.150341,144.671874,33.414570
8,4.294038,72.697554,52.810813,12.197606
9,1.179349,19.966230,14.504378,3.350047
10,0.423356,7.167364,5.206700,1.202581
11,0.090719,1.535864,1.115721,0.257696
12,0.060479,1.023909,0.743814,0.171797
19,0.030240,0.511955,0.371907,0.085899
30,0.030240,0.511955,0.371907,0.085899
55,0.030240,0.511955,0.371907,0.085899
