,1,2,3,4,5,6+
1,11.999911,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.460616,30.539381,0.000000,0.000000,0.000000,0.000000
3,0.244233,16.192925,115.562842,0.000000,0.000000,0.000000
4,0.926431,61.423429,438.356016,538.294132,0.000000,0.000000
5,1.718827,113.960223,813.291443,998.708801,228.320726,0.000000
6,1.962171,130.094216,928.433713,1140.101655,260.645383,117.762885
7,1.634255,108.352996,773.274764,949.568963,217.086577,98.082465
8,0.985270,65.324548,466.196843,572.482219,130.878546,59.132585
9,0.453453,30.064425,214.558547,263.474442,60.234451,27.214688
10,0.215314,14.275558,101.879310,125.106153,28.601258,12.922410
11,0.082930,5.498360,39.239734,48.185762,11.016032,4.977183
12,0.045650,3.026620,21.599854,26.524273,6.063871,2.739734
13,0.014456,0.958430,6.839954,8.399353,1.920226,0.867582
14,0.008369,0.554880,3.959973,4.862783,1.111710,0.502285
15,0.004565,0.302662,2.159985,2.652427,0.606387,0.273973
16,0.004565,0.302662,2.159985,2.652427,0.606387,0.273973
17,0.003804,0.252218,1.799988,2.210356,0.505323,0.228311
18,0.001522,0.100887,0.719995,0.884142,0.202129,0.091324
19,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
21,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
22,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
24,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
41,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
44,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
47,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
55,0.000761,0.050444,0.359998,0.442071,0.101065,0.045662
