,1,2,3,4+
1,959.008782,0.000000,0.000000,0.000000
2,2775.268921,3255.733519,0.000000,0.000000
3,2927.012829,3433.747881,385.233949,0.000000
4,512.023183,600.666490,67.389084,54.916821
5,115.257040,135.210756,15.169365,12.361843
6,39.386399,46.205115,5.183776,4.224371
7,9.535654,11.186501,1.255019,1.022742
8,1.658375,1.945479,0.218264,0.177868
9,0.829187,0.972739,0.109132,0.088934
10,0.414594,0.486370,0.054566,0.044467
11,0.414594,0.486370,0.054566,0.044467
14,0.414594,0.486370,0.054566,0.044467
15,0.414594,0.486370,0.054566,0.044467
30,0.414594,0.486370,0.054566,0.044467
75,0.414594,0.486370,0.054566,0.044467
