,1,2,3,4,5,6+
1,8.000015,0.000000,0.000000,0.000000,0.000000,0.000000
2,14.288250,131.711892,0.000000,0.000000,0.000000,0.000000
3,41.021983,378.148694,251.829584,0.000000,0.000000,0.000000
4,31.773994,292.898921,195.057167,67.269843,0.000000,0.000000
5,19.736634,181.936167,121.161093,41.785123,16.380829,0.000000
6,8.404343,77.472884,51.593367,17.793131,6.975359,5.760799
7,3.301706,30.435776,20.268823,6.990158,2.740320,2.263171
8,0.700362,6.456074,4.299447,1.482761,0.581280,0.480067
9,0.550284,5.072629,3.378137,1.165026,0.456720,0.377195
10,0.200103,1.844592,1.228413,0.423646,0.166080,0.137162
14,0.050026,0.461148,0.307103,0.105911,0.041520,0.034290
16,0.050026,0.461148,0.307103,0.105911,0.041520,0.034290
17,0.050026,0.461148,0.307103,0.105911,0.041520,0.034290
18,0.050026,0.461148,0.307103,0.105911,0.041520,0.034290
