,1,2,3,4,5,6+
1,44.000416,0.000000,0.000000,0.000000,0.000000,0.000000
2,238.307898,843.699885,0.000000,0.000000,0.000000,0.000000
3,262.456129,929.193735,742.351021,0.000000,0.000000,0.000000
4,169.608620,600.478519,479.734015,170.175998,0.000000,0.000000
5,116.833077,413.633179,330.459625,117.223908,41.847248,0.000000
6,60.827715,215.353066,172.049770,61.031197,21.787259,9.949196
7,29.683026,105.089111,83.957743,29.782322,10.631860,4.855061
8,12.817670,45.379389,36.254480,12.860548,4.591031,2.096503
9,5.172042,18.310982,14.629001,5.189344,1.852521,0.845958
10,1.574100,5.572907,4.452305,1.579366,0.563811,0.257465
11,0.449743,1.592259,1.272087,0.451247,0.161089,0.073562
12,0.112436,0.398065,0.318022,0.112812,0.040272,0.018390
14,0.112436,0.398065,0.318022,0.112812,0.040272,0.018390
