,1,2,3,4+
1,13.999982,0.000000,0.000000,0.000000
2,53.474605,410.524995,0.000000,0.000000
3,86.673055,665.389777,1168.937162,0.000000
4,126.939614,974.516485,1712.001857,261.542224
5,133.338196,1023.638454,1798.297885,274.725654
6,25.676891,197.121708,346.297611,52.903826
7,10.031326,77.010571,135.289903,20.668215
8,2.022778,15.528881,27.280680,4.167665
9,0.701780,5.387571,9.464726,1.445924
10,0.371531,2.852243,5.010737,0.765489
11,0.123844,0.950748,1.670246,0.255163
12,0.041281,0.316916,0.556749,0.085054
15,0.041281,0.316916,0.556749,0.085054
40,0.041281,0.316916,0.556749,0.085054
