,1,2,3,4+
1,90.999655,0.000000,0.000000,0.000000
2,308.830126,2125.164473,0.000000,0.000000
3,453.236180,3118.871335,3409.892193,0.000000
4,386.282222,2658.138522,2906.168552,916.413759
5,231.870587,1595.579873,1744.462905,550.088469
6,87.978068,605.406822,661.897133,208.718672
7,34.032437,234.188700,256.040771,80.738361
8,14.119242,97.159279,106.225179,33.496411
9,6.075212,41.805586,45.706452,14.412798
10,1.800063,12.386840,13.542652,4.270459
11,1.012535,6.967598,7.617742,2.402133
12,0.225008,1.548355,1.692832,0.533807
13,0.056252,0.387089,0.423208,0.133452
56,0.056252,0.387089,0.423208,0.133452
