,1,2,3,4+
1,14.999909,0.000000,0.000000,0.000000
2,24.659230,401.340204,0.000000,0.000000
3,64.381877,1047.844368,1557.773642,0.000000
4,100.894346,1642.101425,2441.223523,444.781026
5,98.148032,1597.403914,2374.774146,432.674219
6,28.531151,464.357478,690.335189,125.776272
7,9.394138,152.893868,227.299058,41.412967
8,3.400198,55.339776,82.270657,14.989380
9,1.242380,20.220303,30.060432,5.476889
10,0.588496,9.578038,14.239152,2.594316
11,0.217961,3.547422,5.273760,0.960858
12,0.130777,2.128453,3.164256,0.576515
14,0.043592,0.709484,1.054752,0.192172
15,0.043592,0.709484,1.054752,0.192172
19,0.043592,0.709484,1.054752,0.192172
40,0.043592,0.709484,1.054752,0.192172
