,1,2,3,4+
1,5.999944,0.000000,0.000000,0.000000
2,0.844687,194.155306,0.000000,0.000000
3,1.860797,427.713020,1551.426188,0.000000
4,5.550823,1275.882974,4627.958859,609.607365
5,7.653987,1759.305423,6381.457613,840.583004
6,1.796631,412.964116,1497.928086,197.311174
7,0.711840,163.619906,593.491886,78.176370
8,0.260554,59.889583,217.235068,28.614796
9,0.097069,22.311805,80.930712,10.660414
10,0.032356,7.437268,26.976904,3.553471
11,0.014475,3.327199,12.068615,1.589711
12,0.007663,1.761458,6.389267,0.841612
13,0.000851,0.195718,0.709919,0.093512
14,0.002554,0.587153,2.129756,0.280537
15,0.000851,0.195718,0.709919,0.093512
16,0.000851,0.195718,0.709919,0.093512
20,0.000851,0.195718,0.709919,0.093512
42,0.000851,0.195718,0.709919,0.093512
55,0.000851,0.195718,0.709919,0.093512
64,0.000851,0.195718,0.709919,0.093512
