,1,2,3,4+
1,8.999939,0.000000,0.000000,0.000000
2,0.103213,62.896787,0.000000,0.000000
3,0.714793,435.588066,1662.697146,0.000000
4,2.891219,1761.881606,6725.334667,751.892529
5,3.459014,2107.890600,8046.096669,899.553743
6,0.779584,475.071301,1813.409867,202.739254
7,0.265910,162.042779,618.538679,69.152635
8,0.087907,53.569436,204.481610,22.861047
9,0.032535,19.826411,75.680027,8.461028
10,0.012826,7.816181,29.835395,3.335598
11,0.009072,5.528518,21.103084,2.359325
12,0.001877,1.143831,4.366155,0.488136
13,0.001251,0.762554,2.910770,0.325424
15,0.000939,0.571916,2.183078,0.244068
16,0.000626,0.381277,1.455385,0.162712
17,0.000313,0.190639,0.727693,0.081356
18,0.000313,0.190639,0.727693,0.081356
19,0.000313,0.190639,0.727693,0.081356
44,0.000313,0.190639,0.727693,0.081356
