,1,2,3,4,5,6+
1,2.999983,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.799193,11.200801,0.000000,0.000000,0.000000,0.000000
3,0.153336,2.149027,60.697636,0.000000,0.000000,0.000000
4,0.712074,9.979820,281.872414,248.435692,0.000000,0.000000
5,1.806816,25.322778,715.222574,630.380293,202.267542,0.000000
6,2.228745,31.236162,882.241591,777.586911,249.501127,110.205470
7,2.135383,29.927682,845.284564,745.013860,239.049545,105.588972
8,1.408028,19.733708,557.363538,491.247065,157.624433,69.623232
9,0.787063,11.030793,311.556334,274.598398,88.109263,38.918152
10,0.416872,5.842516,165.017424,145.442462,46.667527,20.613200
11,0.206265,2.890828,81.649246,71.963718,23.090703,10.199240
12,0.118331,1.658423,46.840883,41.284449,13.246772,5.851143
13,0.067307,0.943323,26.643438,23.482897,7.534861,3.328173
14,0.040167,0.562951,15.900116,14.013987,4.496611,1.986168
15,0.027140,0.380372,10.743322,9.468910,3.038250,1.342005
16,0.014113,0.197794,5.586527,4.923833,1.579890,0.697843
17,0.009770,0.136934,3.867596,3.408808,1.093770,0.483122
18,0.005428,0.076074,2.148664,1.893782,0.607650,0.268401
19,0.001086,0.015215,0.429733,0.378756,0.121530,0.053680
20,0.005428,0.076074,2.148664,1.893782,0.607650,0.268401
22,0.001086,0.015215,0.429733,0.378756,0.121530,0.053680
25,0.001086,0.015215,0.429733,0.378756,0.121530,0.053680
