,1,2,3,4,5,6+
1,21.999967,0.000000,0.000000,0.000000,0.000000,0.000000
2,8.555742,397.444244,0.000000,0.000000,0.000000,0.000000
3,15.772589,732.692094,1906.535318,0.000000,0.000000,0.000000
4,41.266523,1916.974764,4988.152759,745.605970,0.000000,0.000000
5,40.551195,1883.745254,4901.686378,732.681376,199.335816,0.000000
6,12.163053,565.016469,1470.227210,219.762754,59.789411,49.041110
7,4.868293,226.149269,588.462153,87.960597,23.930863,19.628828
8,1.535739,71.340463,185.634749,27.747822,7.549168,6.192059
9,0.598938,27.822781,72.397552,10.821651,2.944176,2.414903
10,0.220123,10.225466,26.607647,3.977188,1.082047,0.887529
11,0.071668,3.329222,8.662955,1.294898,0.352295,0.288963
12,0.046072,2.140214,5.569042,0.832435,0.226475,0.185762
13,0.015357,0.713405,1.856347,0.277478,0.075492,0.061921
16,0.005119,0.237802,0.618782,0.092493,0.025164,0.020640
17,0.005119,0.237802,0.618782,0.092493,0.025164,0.020640
37,0.005119,0.237802,0.618782,0.092493,0.025164,0.020640
