,1,2,3,4+
1,13.999907,0.000000,0.000000,0.000000
2,0.421109,55.578889,0.000000,0.000000
3,3.742692,493.968512,2464.288802,0.000000
4,13.766692,1816.957457,9064.358985,761.916895
5,21.823342,2880.291401,14369.073490,1207.811813
6,4.407420,581.700715,2901.963432,243.928442
7,1.365214,180.183823,898.893282,75.557685
8,0.413343,54.553926,272.156270,22.876462
9,0.114555,15.119231,75.426166,6.340048
10,0.038972,5.143656,25.660448,2.156924
11,0.010629,1.402815,6.998304,0.588252
12,0.007086,0.935210,4.665536,0.392168
14,0.003543,0.467605,2.332768,0.196084
15,0.002362,0.311737,1.555179,0.130723
19,0.001181,0.155868,0.777589,0.065361
20,0.001181,0.155868,0.777589,0.065361
35,0.001181,0.155868,0.777589,0.065361
50,0.001181,0.155868,0.777589,0.065361
55,0.002362,0.311737,1.555179,0.130723
