,1,2,3,4+
1,7.999920,0.000000,0.000000,0.000000
2,0.377117,19.622879,0.000000,0.000000
3,0.192028,9.991984,109.815988,0.000000
4,0.378673,19.703825,216.553093,386.364414
5,1.121430,58.352418,641.316946,1144.209221
6,1.413792,73.565162,808.511228,1442.509836
7,1.377323,71.667522,787.655392,1405.299780
8,0.974337,50.698605,557.198409,994.128662
9,0.578038,30.077588,330.564995,589.779387
10,0.323969,16.857365,185.269340,330.549330
11,0.157426,8.191478,90.027690,160.623408
12,0.071723,3.732025,41.016477,73.179777
13,0.056527,2.941341,32.326545,57.675587
14,0.041332,2.150658,23.636614,42.171397
15,0.021882,1.138584,12.513501,22.326034
16,0.011549,0.600919,6.604348,11.783184
17,0.006078,0.316273,3.475973,6.201676
18,0.004863,0.253019,2.780778,4.961341
19,0.002431,0.126509,1.390389,2.480670
20,0.004863,0.253019,2.780778,4.961341
21,0.001216,0.063255,0.695195,1.240335
24,0.001216,0.063255,0.695195,1.240335
71,0.000608,0.031627,0.347597,0.620168
