,1,2,3,4+
1,11.999935,0.000000,0.000000,0.000000
2,2.301047,348.698941,0.000000,0.000000
3,3.917027,593.583454,2808.499525,0.000000
4,12.722354,1927.936346,9121.898990,619.442336
5,19.509351,2956.433120,13988.161145,949.896423
6,2.345827,355.484925,1681.952613,114.216640
7,0.606604,91.924375,434.933893,29.535129
8,0.178605,27.065705,128.059530,8.696160
9,0.058809,8.911878,42.165943,2.863370
10,0.013069,1.980417,9.370210,0.636304
11,0.010891,1.650348,7.808508,0.530254
12,0.008712,1.320278,6.246806,0.424203
13,0.001089,0.165035,0.780851,0.053025
15,0.001089,0.165035,0.780851,0.053025
35,0.002178,0.330070,1.561702,0.106051
40,0.001089,0.165035,0.780851,0.053025
45,0.001089,0.165035,0.780851,0.053025
50,0.001089,0.165035,0.780851,0.053025
54,0.001089,0.165035,0.780851,0.053025
55,0.001089,0.165035,0.780851,0.053025
84,0.001089,0.165035,0.780851,0.053025
87,0.001089,0.165035,0.780851,0.053025
137,0.001089,0.165035,0.780851,0.053025
