,1,2,3,4,5,6+
1,15.000011,0.000000,0.000000,0.000000,0.000000,0.000000
2,1082.475662,2028.526637,0.000000,0.000000,0.000000,0.000000
3,769.029649,1441.138292,607.831449,0.000000,0.000000,0.000000
4,320.237835,600.116014,253.111994,88.533327,0.000000,0.000000
5,134.091469,251.283355,105.984225,37.071085,15.569391,0.000000
6,49.091516,91.996016,38.801323,13.571898,5.700027,7.838967
7,19.684038,36.887291,15.558018,5.441872,2.285518,3.143161
8,6.166084,11.555055,4.873596,1.704683,0.715945,0.984605
9,0.711471,1.333276,0.562338,0.196694,0.082609,0.113608
10,0.711471,1.333276,0.562338,0.196694,0.082609,0.113608
12,0.237157,0.444425,0.187446,0.065565,0.027536,0.037869
