,1,2,3,4,5,6+
1,195.000793,0.000000,0.000000,0.000000,0.000000,0.000000
2,3031.282927,2977.740276,0.000000,0.000000,0.000000,0.000000
3,1002.213817,984.511350,1381.266495,0.000000,0.000000,0.000000
4,565.385944,555.399327,779.223603,176.983967,0.000000,0.000000
5,304.490960,299.112625,419.654123,95.315454,39.422385,0.000000
6,130.046973,127.749906,179.232739,40.708881,16.837156,26.422005
7,49.173232,48.304667,67.771304,15.392802,6.366449,9.990662
8,21.965708,21.577719,30.273476,6.875972,2.843896,4.462834
9,12.230905,12.014866,16.856822,3.828666,1.583533,2.484987
10,7.238699,7.110839,9.976486,2.265945,0.937193,1.470707
11,2.246493,2.206812,3.096151,0.703224,0.290853,0.456426
12,0.748831,0.735604,1.032050,0.234408,0.096951,0.152142
13,0.499221,0.490403,0.688034,0.156272,0.064634,0.101428
20,0.748831,0.735604,1.032050,0.234408,0.096951,0.152142
